"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 4, -1, 3
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 6, 6, -1, 11
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\commands\TeleopElevator.java", "Java", 0, 12, 0, 0, 12
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\commands\TeleopPneumatics.java", "Java", 0, -3, 0, 0, -3
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\commands\TeleopSwerve.java", "Java", 0, 0, 2, 0, 2
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\subsystems\Elevator.java", "Java", 0, 79, 1, 6, 86
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\subsystems\Pneumatics.java", "Java", 0, -9, 2, -2, -9
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\src\main\java\frc\robot\subsystems\Swerve.java", "Java", 0, -18, 19, 1, 2
"c:\Users\Ruhmi\Documents\GitHub\BaseFalconSwerve\vendordeps\REVLib.json", "JSON", 73, 0, 0, 0, 73
"Total", "-", 73, 67, 34, 3, 177
